LAflood;LAflood,LaborDay,smallbiz,LawandOrder,DemPlatform,holdthefloor,LaudatoSi,OrlandoUnited,Statehood,HoustonFlood,KenLangone,MichaelMoore;0,5,6,7,8,7,6,9,5,7,7,8
Trump4Vets;Trump4Vets,TrumpinEverett,extremevetting,TrumpMovement,TrumpIsWithYou,TrumpYourself,TrumpDallas,TrumpTrainTickets,HaileyPuckett,TrumpCountry,TrumpSupporters,ThankAVet;0,6,9,6,8,7,5,9,10,6,8,6
Trump4President;Trump4President,TrumpForPresident;0,3
laurencetribe;laurencetribe,FlashbackFriday,BlackWomensEqualPay,LaurenceTribe;0,10,14,0
ShesWithUs;ShesWithUs,StandWithLouisiana,SaveElephants;0,11,9
EauClaire;EauClaire,AmericaFirstVideo,Obamacare,MattSchlapp,KentuckyDerby,EastVillage,ObamaCare,NewHampshire,ROGERAILES,Excellent,NaturalBorn;0,12,6,8,9,7,6,7,7,7,7
SuperTuesday;SuperTuesday,WomensEqualityDay,ElectionDay,PurpleHeartDay,WorldRefugeeDay,UnderstandSlavery,SallyRideDay,ArmedForcesDay,InternationalNursesDay,WesternTuesday,SuperSaturday,SuperBowlSunday;0,12,7,8,9,11,7,8,13,5,4,6
Rio2016;Rio2016,election2016,ugpride2016,LeadRight2016,RTM2016,Decision2016,AIPAC2016,2016;0,6,5,7,2,6,4,3
JimmyFallon;JimmyFallon;0
NewYorkValuesin;NewYorkValuesin,MegynKellyPresents,NewYorkValues;0,12,2
CripTheVote;CripTheVote,BuildTheWall,StoptheHate,RiggedSystem,TurnUpToVote,MothersoftheMovement;0,8,5,9,6,14
DDay;DDay,debate,Debate,Enjoy,Diwali,YouthDay,dtmag,ArmyBDay,MayDay,EarthDay,NewDay,Derp,Donald;0,4,4,4,4,5,3,5,3,5,3,3,4
Prince;Prince,OpeningCeremony,StopGunViolence,60Minutes,MikePence,Orlando,PhilandoCastile,NYCPride,Clinton,gunviolence,NoMoreSilence,MoreInCommon,GunViolence,LyingTed,MorningJoe,Laurence;0,10,10,6,6,5,10,5,5,7,8,8,7,5,6,4
JuntosSePuede;JuntosSePuede;0
;,1,AZ,GO;0,1,2,2
CommonCore;CommonCore,CommanderInChiefForum,NotOneMore,WomanCard,womancard,EndCommonCore,OnTheRecord,StopCommonCore,RogerStone,CommonLaw,GoldenGlobe;0,13,5,5,5,3,8,4,7,4,7
HillaryOnCNN;HillaryOnCNN,LibrarianOfCongress,Hillary2016,HillaryKaine2016,HillaryClinton;0,13,5,8,5
polls;polls,Polls,OHHillYes,GIBill,NoLoyalty,Colbert,Jobs,GPLFers,FoxNews,Jonas;0,0,6,5,6,5,3,5,5,3
MadeInAmerica;MadeInAmerica,makersandtakers,WakeUpAmerica,DavidCameron;0,10,4,8
JuanGabriel;JuanGabriel,ChangeAgents;0,8
Racine;Racine,Hannity,NAACP107;0,5,6
MAGA3pm;MAGA3pm,MAGATickets,Mahalo;0,7,4
MeetTheTrumps;MeetTheTrumps,RestoreTheVRA;0,9
TerenceCrutcher;TerenceCrutcher,StrongerTogether;0,10
NHPolitics;NHPolitics,sendDonaldtospace,FightForFamilies,Politician,IAPolitics;0,12,11,5,2
Brexit;Brexit,brexit,Srebrenica,BrexitVote,Mexico,HarveyPitt;0,0,6,4,4,6
HillaryOnGMA;HillaryOnGMA;0
RollCallVote;RollCallVote,RosanellEaton,NeilCavuto;0,8,7
enough;enough,Enough;0,0
RNCinCLE;RNCinCLE,DNCinPHL,RNCInCLE,GOPinCLE,RNCINCLE,MSNBCTownhall;0,4,0,3,0,9
SayHerName;SayHerName,MyTeacherIsWeird,HispanicHeritageMonth;0,11,14
MSPrimary;MSPrimary,DisarmHate,HistoryMade,MemorialDay,MDPrimary;0,7,7,7,1
Bush;Bush,Brussels;0,5
